name,line
Homer,"Marge, that's the only time he's ever spoke to me without using the"
Homer,"Okay, now look.  My boss is going to be at this picnic, so I want"
Lisa,Tough choice.
Bart,I'm picking respect.
Burns,"Oh please please, don't fight.  Just go out back and have a good"
Smithers,He'll be gone by the tug-of-war sir.
Burns,Excellent.
Homer,"Ah, afternoon Mr. Burns!"
Burns,Hello there... uh... uh...
Homer,"[whispers to Smithers]  Simpson, Homer."
Smithers,"[hands an index card to Burns]  Here you go, sir."
Burns,"Ah!  Oh yes... [reads the card]  Oh, and this must be your lovely"
Marge,[smiles]
Burns,"Ho ho, look at little... uh... [consults the card]  Lisa!  Why,"
Brat,[unimpressed]  Bart.
Homer,"Don't correct the man, Brat!"
Burns,Make yourselves at home.
Bart,Hear that Dad?  You can lie around in your underwear and scratch
Homer,"[angrily, he goes to strangle Bart]  Now you listen to me!"
Burns,"Trouble, Simpson?"
Homer,"[one hand around Bart's neck]  No, heh heh heh.  Just congratulating"
Homer,"Now, remember!  As far as anyone knows, we're a nice, normal family."
Lisa,Hey Bart!  Last one in the fountain's a rotten egg!
Homer,D'oh!  [chasing after the two]  Be normal!  Be normal!
Marge,Do you think we should leave the kids unsupervised?
Mother,You're right.  [turns on the TV]
Homer,Bart!  Lisa!  [swans stampede Homer]  Willya... D'oh...  Where are are
Bart,"Oops.  [Homer grabs Bart]  Whoa, careful Dad.  Blow a gasket, and"
Homer,You remember the rules from last year?
Bart,"Yeah, shut my mouth and let your boss win."
Mother,I don't know who to love more...  My son Joshua who's
Marge,[helping herself to ample amounts of the punch]  Umm-hmm.  Well I
Mother,<Your> family?
Marge,"Well, it's a greatness that others can't see... but it's there, and"
Smithers,"Mr. Burns, are you ready?"
Burns,Yes.
Smithers,Are you set?
Burns,Yes.
Smithers,"[whispers]  Go, Mr. Burns!"
Burns,[feebly hops away]
Smithers,"[after Burns gets a healthy lead, fires the starter's pistol]"
Marge,"Here we sit, enjoying the shade."
Wives,"Hey, Marge, and pour the wine!"
Marge,Drink the drink that I have made.
Wives,"Hey, Marge, and pour the wine!"
Marge,"He's here with me, my one and only."
Homer,"[runs past chasing the kids, sees Marge]  Huh?"
Marge,"Drink, my friends and don't be lonely."
Homer,[slaps his forehead] Oh!
Wives,"Hey Marge, and pour the wine!"
Homer,"Snap out of it Marge!  You've gotta come with me, the boss is going"
Marge,"Whoa, oh, I'm not much of a drinker.  [collapses]"
Homer,"You picked a perfect time to start, you... [Marge gazes at him]"
Burns,"Musicians, cease that infernal tootling! [they do]"
Smithers,[hands Burns a card]
Burns,Thank you all.
Smithers,[hands another card]
Burns,Ah... For coming.
Homer,"Quick Bart, give me a kiss."
Bart,"Kiss you?  But Dad, I'm your kid!"
Burns,"Ugh, I've never seen such an obvious attempt to curry my favor."
Smithers,"Fabulous observation sir, just fabulous."
Marge,Homey!  Get in the car!
Lisa,This is where you belong!
Bart,"Yeah Homer, room for one more!"
Bart,[chanting]  One of us!  One of us!  One of us!  One of us!
Time,7:06]
Homer,"Dear Lord, thank You for this microwave bounty, even though we"
Marge and the kids,Amen!
Homer,Sometimes I think we're the worst family in town.
Marge,Maybe we should move to a larger community.
Homer,"Look at that, kids!  No fighting, no yelling."
Bart,No belching.
Lisa,Their dad has a shirt on!
Marge,Look!  Napkins!
Bart,These people are obviously freaks.
Bart,"Whoa!  Look at this place, what a dump!"
Homer,"It's worst than you think, heh heh heh.  I just trampled this poor"
Marge,"Ho-mer, this is <our> house."
Moe,Eddie!  Would you like some pretzels?
Eddie,"No thanks, we're on duty.  A couple of beers would be nice though."
Barney,Don't blame yourself Homer.  You've got yourself a bad hand.  You've
Homer,You can't talk way about my kids!  Or at least two of them.
TV,All-star Boxing was brought to you by ``Doctor Marvin Monroe's
Wife,"Honey, aren't you going to work today?"
Husband,No-o-o... I don't think so.
Wife,"Honey, you have a problem, and it won't get better until you admit it."
Husband,I admit this...  You better shut your big yap!
Wife,Oh you shut up.
Husband,"No, you shut up!"
Wife,No <you> shut up!
Husband,Oh shut up!
Wife,Shut up!
Husband,Shut up!  [little kid enters the bedroom]
Kid,Why don't you <both shut up!>
Monroe,"Hi, friends, I'm Dr. Marvin Monroe.  Does this scene look familiar?"
Time,11:45]
Homer,"All right, time for a family meeting.  [shuts off the TV]"
Lisa,Why can't we have a meeting when <you're> watching TV?
Homer,"Now look... You know and I know this family needs help, professional"
Bart,The fat guy on TV?
Lisa,You're sending us to a doctor who advertises on pro-wrestling?
Homer,"Boxing, Lisa, boxing.  There's a world of difference."
Homer,To save this family we're gonna have to make the <supreme> sacrifice.
Lisa,No Dad!  Please don't pawn the TV!
Bart,"Aw come on, Dad, anything but that!"
Marge,"Homer, couldn't we pawn my engagement ring instead?"
Homer,"I appreciate that, honey,"
Homer,[presenting TV]  Would you pay $150 for this <lovely> Motorola?
Clerk,Is it cable-ready?
Homer,As ready as she'll ever be.
Marge,"[despairingly] Homer, you raided the college fund, the TV... Homer,"
Homer,"Hey!  No pain, no gain!"
Receptionist,Will you be paying by cash or check?
Homer,Cash of course!  I've got two hundred and fifty dollars right here
Bart,"You really want to impress her, show her the big empty space where"
Monroe,"Hello, I'm Doctor Marvin Monroe, no doubt you recognize me from TV."
Lisa,We would if we had one.
Homer,"Wait a minute, these mallet things are padded with foam rubber."
Bart,"They work much better without the padding, Doc."
Monroe,"Everyone comfy?  Hmmph, good.  Now don't touch any of those buttons"
Homer,Waaaaaaugh!
Bart,Just testing.
Monroe,This is what's known as aversion therapy.  When someone hurts you
Homer,"Oh yes, doctor!  [zaps Bart]"
Bart,Oh!  [presses button]
Lisa,Owwww!
Marge,[scornfully]  Bart!  How could you shock you little sister?
Bart,My finger slipped.  [zapped]  Whaaaaagh!
Lisa,So did mine!  [zapped by Bart]  Aigh!  [she retaliates]
Bart,Arggh!  [zaps Lisa again]
Marge,Bart!  Lisa!  Stop that!  [zaps both]
Episode,Dancin' Homer
Homer,There's only one thing worse than being a loser.  It's being one
Barney,"Please, Homer?"
Moe,"Yeah, come on, Homer."
Homer,"Well, okay."
Homer,"You know, boy, some of the players you see tonight may make it"
Bart,What?  Aren't we going to see any washed-up major-leaguers?
Homer,Sure!  We get a nice mix here.
Marge,Last year you got a little rambunctious and mooned the poor umpire.
Homer,"Marge, this ticket doesn't just give me a seat, it also gives me the"
Marge,Mph.
Burns,"Ah, the Gammels.  Good to see you."
Burns,"Well, take your mind off contaminants for one night and have a hot dog!"
Burns,"Ah, well, if it isn't the Simps!"
Homer,"Uh, it's Simp-son, sir."
Burns,"Eh?  [refers to the index card] Oh, yes.  Homer and Marge Simpson."
Marge,"Here you go, Bart."
Bart,"[reads the inscription]  Springfield Kozy Kourt Motel, Room 26,"
Homer,"Wow!  Flash Baylor came onto my wife!  You've still got the magic,"
Announcer,"Ladies and gentlemen, throwing out tonight's first ball,"
Smithers,"Oh, they love you, sir."
Time,9:22] [pretty long]
Homer,"Don't fill up on those vegetables, kids.  Save room for your nachos!"
Bart,All right!
Marge,[disapprovingly] Mmm.
Tex,Why don't you talk it over with your family?
Homer,Because they might say no.
Lisa,I can't leave Springfield!
Homer,It won't be so bad.  You'll die someplace else.
Ned,"I don't know how to say this, but uh..."
Homer,"Oh, knock it off, Flanders; don't start blubbering on me."
Lisa,I can't help but feel that if we had gotten to know each other
Friends,Yeah.
Time,14:42]
Goof,What exactly do you have planned for us?
Homer,"Well, I get up and dance, and I spell out the name of the city,"
Goof,"Ah, Mancini.  The mascot's best friend."
Homer,[narrating] I was too tense to enjoy the game.  Every ounce of
Vendor,Red hots!  Getcher red hots here!
Homer,"Ooh, red hots!"
Episode,Homer Defined
Homer,"Here's good news!  According to this eye-catching article,"
Lisa,"Dad, I think this paper is a flimsy hodgepodge of pie graphs,"
Homer,"Hey, this is the only paper in America that's not afraid to tell"
Bart,[inscribing a card]
Lisa,"Bart, that's so sweet.  May I see the card?  [reads]  ``Hey there,"
Martin,"Milhouse, I'd like to express my appreciation for Saturday."
Bart,What's he talking about?
Milhouse,Uh... Hey!  Look at that dog!  Isn't that something!
Bart,"[sees a rather plain dog] Wow, brown!"
Burns,"So, what did you do this weekend, Smithers?"
Smithers,"Well, I caught up on my laundry, wrote a letter to my mother,"
Burns,Who the devil is Hercules?
Smithers,"Oh, he's my Yorkshire terrier, sir.  He's kind of tiny, so you"
Burns,"Ugh.  Well, Smithers, don't you know how to paint the town red!"
Burns,I took in a movie.  An appalling little piece of filth.
Smithers,[gasp]
Burns,"No, just give the Great Unwashed a pair of oversized breasts"
Homer,What a movie!  And that blonde cutie!  Does she have assets! [oinks]
Apu,"Otto, do you know there's a small child inside your bus?"
Otto,"[sees Bart] Ooh, good thing you warned me.  I was on my way to Mexico!"
Voice,Warning... Problem in Sector 7-G.
Burns,"7-G?  Good God, who's the safety inspector there?"
Smithers,[calls up a video file photo of a hairful Homer]
Burns,"Simpson, eh?  Good man?  Intelligent?"
Smithers,"[reluctantly]  Actually, sir, he was hired under Project Bootstrap."
Burns,"[sarcastically]  Thank you, President Ford."
Homer,[waking up to the sound of loud rhythmic buzzing]
Voice,[calmly] Five minutes before critical mass...
Homer,Critical what!?  [trying to calm down]
Voice,[as steel doors seal off the safety control room]
Announcer,We interrupt `Search for the Sun' for this special news bulletin.
Meltdown Crisis,The First Couple of Minutes.
Brockman,"[surrounded by comb and hair dryer]  Forget the hair, just give"
Kent,On the line with us now is plant owner C. Montgomery Burns.  Mr. Burns?
Burns,"Oh, hello, Kent.  [as loud rhythmic buzzing continues in the background]"
Smithers,"Sir, where is <my> radiation suit?"
Burns,How the hell should I know?  [covers the name `Smithers' on the suit
Kent,"Uh, Mr. Burns, people are calling this a meltdown."
Burns,"[laughs] Oh, meltdown.  It's one of those annoying buzzwords.  We prefer"
Homer,"[panicking, as warning sirens wail]  Gotta think, gotta think..."
Voice,[cheerfully] Ninety seconds to core meltdown.
Smithers,"Sir, there may be never be another time to say... I love you, sir."
Burn,"[disgusted]  Oh, hot dog.  Thank you for making my last few moment"
Moe,Looks like this is the end...
Barney,"Oh, that's all right.  I couldn'ta led a richer life."
Kent,"After the meltdown, we can expect roving bands of..."
Abe,"Ah, I don't like this program."
Jasper,Change the channel.
TV,Wheel!  Of!  Fortune!!
Marge,[praying]  Dear Lord.  If you spare this town from becoming
Homer,"Okay okay, think back to your training..."
Trainer,"Now, Homer, this may very well save your life one day."
Homer,[playing with a Rubik's cube]  Yeah?
Trainer,Please pay attention.  This button here controls the emergency
Homer,"[completing a side of the cube]  Ooh, a side!"
Trainer,Simpson!
Homer,What?
Trainer,You see which button I'm pushing?
Homer,"[not looking]  Yeah, yeah, yeah.  Push the button.  Got it."
Voice,[pleasantly]  Thirty seconds to core meltdown.
Burns,"Oh, Smithers, I guess there's nothing left but to kiss"
Smithers,"May I, sir?"
Burns,Ugh.
John Fink,[indicating on a map]  These unfortunate people here will
Kent,Good Lord!
Skinner,They called me old-fashioned for teaching the duck-and-cover
Time,8:33]
Voice,All systems returning to normal.  Danger in 7-G neutralized.
Man,"[emerges from closet, fixing his tie]"
Woman,Will I ever see you again?
Man,"Sure, baby.  Next meltdown."
TV,I'd like to solve the puzzle.  `Three Loins in the Fountain'.  [buzz]
Burns,[voice only]
Marge,Phew!
Burns,It seems a single wayward crow flew into our warning system.
Kent,"Very good.  Well, sir, your point about nuclear hysteria is well-taken."
Burns,"[in his office, still wearing his radiation suit]"
Milhouse,"Bart, my mom won't let me be your friend any more."
Bart,What's she got against me?
Milhouse,She says you're a bad influence.
Bart,"[slams his hand on the table]  Bad influence, my ass!"
Karl,"Hey, way to save our lives!"
Len,"Yeah, we owe you one!"
Homer,"Yeah, you know, boys, a nuclear reactor is a lot like a woman."
Burns,"Oh, and what's this?  A congratulatory phone call from Earvin"
Homer,[gasps]  Magic Johnson!?  [picks up the phone]  Yello?
Magic,[calling from the arena]  Is this really Homer Simpson?
Homer,Yeah.
Magic,"Wow.  Homer, I just used our last time-out to call and congratulate"
Lisa,[laughing at an Itchy and Scratchy cartoon]
Marge,"[reading the plaque]  For heroic competence, for narrowly"
Homer,"Look, I get enough admiration and respect at work!"
Marge,"How are you enjoying your ham, Homey?"
Homer,"Tastes so bitter, it's like ashes in my mouth..."
Marge,Hm.  It's actually more of a honey glaze.
Lisa,Maybe you ate a clove.
Homer,"[angrily] What's <your> problem, boy?"
Bart,I had a fight with Milhouse.
Homer,That four-eyes with a big nose?  You don't need friends like that.
Lisa,How Zen...
Homer,What is it?  What are you doing?
Lisa,Looking at you with quiet awe.
Homer,"Well, as long as it's quiet."
Time,13:53]
Burns,"Ah, Simpson, here's someone I want you to meet."
Ari,They've lost their zest for work.  You must help them find their
Homer,Their ine-aratu-zoola-what?
Ari,Yes!
Maggie,[playing Monopoly with Bart]
Marge,"Bart, don't feed your sister hotels."
Bart,"[holding up the box]  Don't worry, Mom.  There's tons of these things."
Marge,Why don't you go play with Milhouse?
Bart,I don't want to play with Milhouse.
Marge,You mean you still haven't made up with him?
Bart,It's his mom.  She says I'm a bad influence.
Marge,Mmm...
Marge,Mrs. Van Houten?  I'm Bart's mother.  We met in the emergency room
V,I remember.
Marge,"I know Bart can be a handful, but I also know what he's like inside."
V,"Well, Marge, the other day, Milhouse told me my meatloaf `sucks'."
Barney,"So next time somebody tells you carney folk are good, honest people,"
Lisa,"I will, Mr. Gumbel, but if you'll excuse me, I'm profiling my dad"
Barney,"Aw, that's sweet.  I used to follow my dad to a lot of bars, too."
Moe,"Here you go, one beer [sets it in front of Lisa].  One chocolate"
Lisa,"Uh, excuse me, <I> had the chocolate milk."
Moe,Oh.
Lisa,He's just a little nervous.  He has to give a speech tomorrow on
Homer,[shaking Lisa in a panic]  What am I going to do!?
Barney,"I had to give a speech once.  I was pretty nervous, so I used a"
Homer,Did it work?
Barney,"I'm a free man, ain't I?"
Milhouse,[on the walkie talkie]  Milhouse to Bart.  Do you want to come
Bart,Really?  We can be friends again?  Did your mom die?
Milhouse,"Um, I don't think so."
Bart,"Well, who cares."
Homer,[nervously reading a speech]  Grace under pressure is no...
Voice,[sirens wail]  Three minutes to meltdown.
Homer,Phew!  Saved by the bell.
Episode,I married Marge
Marge,"Barnacle Bill's Home Pregnancy Test?  Homer, shouldn't we have gone"
Homer,"But Marge, this one came with a corn-cob pipe!"
Homer,Do you really think you're pregnant?
Marge,"Well, I have the same nausea and craving for pancake mix I had with"
Homer,"Yeah, and I have the same tightness in my chest and profuse sweating"
Bart,"Hey, Homer, how come Mom's going to the doctor?"
Lisa,Is anything wrong?
Homer,"No, everything's fine.  Your mother uh just... broke her leg."
Lisa,What!?
Bart,I smell a bun in the oven...
Lisa,"Is Mom going to have another baby, Dad?"
Homer,[fierce internal struggle manifests itself in wiggling fingers]
Lisa,"Whoa, awright!  Way to go!  [exchange high fives]"
Bart,"You're a machine, Homer!"
Lisa,"Did you hear that, Maggie?  Another baby in the house."
Bart,"Oh, cool!  We can race 'em!"
Homer,"Yeah, sure, for you, a baby's all fun and games."
Lisa,Doesn't Mom do that stuff?
Homer,"Yeah, but I have to hear about it."
Boss,"Keep this up, and someday <you> will be the guy who hands out"
Homer,"Yes, sir!"
Lisa,"It's not our fault our generation has short attention spans, Dad."
Homer,"Don't you ever, EVER talk that way about television."
Patty,"If you like being pawed by something fat and lazy, we could get a cat!"
Granma,It would leave less hair on the couch.
Marge,I can't imagine that job of yours is very stimulating.
Homer,But it gives me time to think.
Marge,Oh.  What do you think about?
Homer,"Oh, girls.  I mean, boys.  I, I mean, you."
Homer,"Wow, what an ending!  Who would have thought Darth Vader was"
Crowd,"[waiting in line to see the movie]  Oh, thank you, Mister"
Marge,[listening to `You Light Up My Life' on the radio]  Our song.
Homer,I bet the guy she was singing that about was real happy.
Marge,"Well, actually, she was singing about God."
Homer,"Oh, well, He's always happy.  No, wait, He's always mad..."
Homer,"Someday, I'll buy you a <real> castle."
Marge,You don't have to do that.
Homer,Phew.  Good.
Marge,"Maybe it's the champale talking, but I think you're pretty sexy."
Homer,Really?  It <must> be the champale talking.
H,"Well, uh, Miss Bouvier,"
Homer,D'oh!
H,Perhaps this pamphlet will prove helpful. [hands over a pamphlet]
Marge,[reads] So you've ruined your life.
Grampa,"Son, you've got to marry that girl!"
Homer,Because it's the honorable thing to do?
Grampa,"[slams his hand on the table] No, because you'll never do any better."
Time,7:19]
Lisa,"Dad, if the new baby is a girl, can we name her Ariel?"
Bart,"Bzzzzt.  I'm sorry, the baby's name will be Cool Mo-Dee Simpson."
Lisa,Ariel!              Ariel!              Ariel!
Bart,Cool Mo-Dee!        Cool Mo-Dee!        Cool Mo-Dee!
Marge,"Homer, I've been thinking, if the baby's a boy, what do you think"
Homer,"Marge, we can't do that!  All the kids will call him `Larry Fairy'."
Marge,"Well, how about Louie?"
Homer,They'll call him `Screwy Louie'.
Marge,Bob?
Homer,`Flob'. [?]
Marge,Luke?
Homer,`Puke'.
Marge,Marcus?
Homer,`Mucus'.
Marge,What about Bart?
Homer,"Let's see...  Bart, Cart, Dart, Ee-art...  Nope, can't see any problem"
Homer,[spots a nice ring]  Wow.  I'll take <that> ring.
Clerk,"Yes, sir, and how will you be paying for it?"
Homer,I don't know.
Minister,"Dearly beloved, we are gathered here in the sight of God and"
Homer,Homer.
Minister,... and ... [points at Marge]
Marge,Marge.
Minister,... in holy matrimony.  Beautiful.
Marge,I do.
Minister,"Homer, same question, names reversed."
Homer,I do.
Minister,"Then, by the power vested in my by the state gaming commission,"
Homer,"Hey, why don't I apply at the nuclear power plant?"
Marge,I don't know.  I heard radiation can make you sterile.
Homer,Pfft.  <Now> you tell me.
Smithers,What would each of you say is your worst quality?
Homer,"Well, it takes me a long time to learn anything,"
Smithers,"Okay, that'll do."
Homer,... a little stuff starts disappearing from the workplace...
Smithers,That's enough!
Smithers,There's a problem with the reactor.  What do you do?
Homer,There's a problem with the reactor!?  We're all going to die!
Homer,"[to his unborn son]  Kid, I won't let you down."
Patty,"Yeah, a doctor!"
Homer,"Good evening, Madam.  You have been selected by the good people of"
Woman,[grabs the wrong end]  Aaaaaagh!
Homer,"[to himself]  Handle first, handle first..."
Lisa,[crying] That is so sad.
Homer,"Oh, come on, honey.  You know how it turns out."
Bart,[poking his head into the room]
Homer,Okay.
Time,14:33]
Homer,"Yeah, whaddya want."
Marge,My husband by my side.
Homer,You want fries with that?
Burns,"Who was that young hellcat, Smithers?"
Smithers,"Homer Simpson, sir."
Burns,"Simpson, eh?  I'll remember that name..."
Homer,"Starting tomorrow, I'm a nuclear technician!"
Hibbert,Good God!
Homer,"And tomorrow, I'm going to buy your ring back, then I'm going"
Marge,Doesn't your job start tomorrow?
Homer,"Eh, somebody'll cover for me."
Marge,[goes into labor] Oh!
Homer,[rolls up his sleeves] Step aside.  I'll deliver this baby.
H,"Uh, why don't you let me handle it, Homer?"
Homer,"[confrontationally] Oh, a college boy, eh?"
Marge,"Homey, isn't he beautiful?"
Homer,"Hey, as long as he's got eight fingers and eight toes, he's fine"
Homer,"You know, son, the day you were born, I received the greatest gift"
Marge,"[comes home]  Homer, I'm not pregnant!"
Homer,"[gets up, the kids on his lap falling to the floor]"
Marge,Yes!  [exchanges a high five with Homer]
Episode,Homer Alone
Lisa,"Mom, Bart's making faces at me."
Bart,"It's a nervous twitch, and I'm a little sensitive about it,"
Eddie,She's locked in the car and refuses to move.
Wiggum,Did you flash your lights?
Eddie,Yes.
Wiggum,"[thinks]  Well, <I'm> fresh out of ideas."
Time,5:17]
Wiggum,Try to talk her out of there.
Homer,[through a megaphone] Hello?  Hello?  Is this thing on?  Hello?
Marge,"Homer, is that you?"
Homer,[aside] What should I say?
Wiggum,"Well, how about, ``Yes, it's me.''"
Homer,"[through a megaphone] Yes, it's me."
Marge,I need to unwind.
Homer,"I knw you do, Marge, but come on, you know what our vacations are"
Selma,"Kids, you haven't touched your tongue sandwiches."
Patty,"We've got clamato, Mr. Pibb and soy milk."
Lisa,[yawns]  I think I'll just hit the hay.
Selma,It's 12:30 in the afternoon!
Lisa,[quietly]  I'm aware of the time.
Bart,"I'm scared, Lisa."
Lisa,"You think <you> know fear?  Well, <I've> seen 'em naked!"
Bart,Waaaaauuuugh!
Troy,"Our tour starts in your very own room, where Relaxo-Vision offers you"
Homer,"Come on, Maggie.  Nummy-nummy-num!"
